lon,lat,Name,Ord,Elevation,url,Description
13.465472,50.659167,82. Schwartenberg,Second,589,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#82._Schwartenberg)
13.42825,50.582194,83. Grossenstein,Second,756,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#83._Grossenstein)
13.272028,50.587639,84. LauschhÃ¼bel,Second,697,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#84._Lauschhübel)
13.193167,50.535722,85. Hirtstein,Second,578,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#85._Hirtstein)
13.1665,50.690639,86. Lauterbacher Knochen,Second,500,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#86._Lauterbacher_Knochen)
13.163333,50.699139,87. Adlerstein,Second,456,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#87._Adlerstein)
13.422444,50.72675,88. Saydahöhe,Second,454,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#88._Saydahöhe)
13.302833,50.816444,89. Langenauer Tännicht,Second,123,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#89._Langenauer_Tännicht)
13.120306,50.769861,90. Waldkirchen,Second,456,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#90._Waldkirchen)
13.007472,50.762722,91. Dittersdorfer Höhe,Second,654,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#91._Dittersdorfer_Höhe)
12.982306,50.847722,92. Beutenberg,Second,900,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#92._Beutenberg)
12.822194,50.91375,93. Taurastein,Second,975,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#93._Taurastein)
13.032333,50.953944,94. Sachsenburg,Second,875,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#94._Sachsenburg)
13.215889,50.946111,95. Bräunsdorf,Second,566,https://youtu.be/fPK78LJOo6I,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#95._Bräunsdorf)
13.304611,51.012528,96. Obergruna,Second,1200,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#96._Obergruna)
13.211056,51.0345,97. Marbachhöhe,Second,1100,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#97._Marbachhöhe)
13.083306,51.042306,98. Reichenbachhöhe,Second,365,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#98._Reichenbachhöhe)
12.935111,51.010861,99. Erlau,Second,365,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#99._Erlau)
12.949444,51.102111,100. Kreuz,Second,455,https://youtu.be/rd9j80rb97o,Source: Wikipedia article Königlich-Sächsische Triangulirung (https://de.wikipedia.org/wiki/Königlich-Sächsische_Triangulirung#100._Kreuz)
